Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.4987,0.8024,0.4512,0.8437
2,0.3679,0.8414,0.3659,0.8480
3,0.3181,0.8524,0.3688,0.8373
4,0.3058,0.8615,0.3687,0.8501
5,0.2819,0.8735,0.3810,0.8458
6,0.2669,0.8822,0.3744,0.8565
7,0.2428,0.8890,0.3682,0.8608
8,0.2285,0.8991,0.3716,0.8544
9,0.2133,0.9065,0.3698,0.8630
10,0.2117,0.9078,0.3708,0.8672
11,0.1804,0.9120,0.3832,0.8544
12,0.1742,0.9193,0.3932,0.8480
13,0.1652,0.9207,0.3922,0.8544
14,0.1563,0.9280,0.4063,0.8458
15,0.1433,0.9312,0.4084,0.8480
16,0.1284,0.9404,0.4296,0.8458
17,0.1313,0.9372,0.4345,0.8522
18,0.1235,0.9427,0.4414,0.8480
19,0.1137,0.9482,0.4556,0.8458
20,0.1092,0.9505,0.4658,0.8415
21,0.0973,0.9523,0.4593,0.8522
22,0.0980,0.9555,0.4522,0.8522
23,0.0964,0.9587,0.4762,0.8373
24,0.1055,0.9564,0.4713,0.8330
25,0.0949,0.9619,0.4858,0.8544
26,0.0932,0.9601,0.4928,0.8480
27,0.0739,0.9661,0.5211,0.8351
28,0.0747,0.9652,0.5073,0.8394
29,0.0773,0.9670,0.5442,0.8415
30,0.0733,0.9679,0.5456,0.8351
31,0.0642,0.9734,0.5456,0.8373
32,0.0652,0.9734,0.5317,0.8351
